UNIQUE_IDENTIFICATION_NUMBER_OF_THE_INSTITUTION,"Percent of Bachelor Degrees Awarded in Science, Technology, Engineering, and Math",Percent of Bachelor Degrees Awarded in Arts and Humanities,Percent of Bachelor Degrees Awarded in Education,Percent of Bachelor Degrees Awarded in Social Sciences,Percent of Bachelor Degrees Awarded in Health Sciences,Percent of Bachelor Degrees Awarded in Business,Percent of American Indian or Alaska Native Undergraduates,Percent of Two or More Races Undergraduates,Percent of Asian Undergraduates,Percent of Black or African American Undergraduates,Percent of Latino Undergraduates,Percent of Native Hawaiian or Other Pacific Islander Undergraduates,Percent of White Undergraduates,Percent of Women Undergraduates,Percent of Men Undergraduates,Percent of Nonresident Undergraduates,Percent of Undergraduates Race-Ethnicity Unknown,Percent of Undergraduates Age 25 to 64,"Percent of Full-time, First-time Degree-Seeking Undergraduates","Percent of First-Time, Full-Time International Undergraduates",Total Enrollment,Total Percent of Men Admitted,Total Percent of Women Admitted,Average Cost of Attendance Out-of-State,Average Cost of Attendance In-State,"Percent Full-time, First-time, Pell Grant Recipients Receiving an Award - 6 Years","First-Time, Full-Time Retention Rate","Out-of-State Average Tuition for First-Time, Full-Time Undergraduates","Average In-State Tuition for First-Time, Full-Time Undergraduates","Average Amount of Loans Awarded to First-Time, Full-Time Undergraduates","Average Amount of Federal Grant Aid Awarded to First-Time, Full-Time Undergraduates","Average Amount of Institutional Grant Aid Awarded to First-Time, Full-Time Undergraduates","Average Amount of Federal, State, Local, or Institutional Grant Aid Awarded","Percent of First-Time, Full-Time Undergraduates Awarded Federal, State, Local or Institutional Grant Aid","Percent of First-Time, Full-Time Undergraduates Awarded Pell Grants","Average Net Price After Grants, 2020-21","Average Net Price for Low-Income Students, 2020-21","Average Net Price After Grants- Students Awarded a Grant or Scholarship, 2020-21","Number Awarded a Grant or Scholarship - Low-Income Students In-State, 2020-21","Number Awarded a Grant or Scholarship - Low-Income Students, 2020-21","Average Net Price After Grants - Low-Income Students Awarded Financial Aid, 2020-21",Cohort Default Rate,Median Debt for Dependent Students,Median Debt of Completers,Median Debt for Independent Students
456825,,,,,,,0.0,0.0,1.0,45.0,0.0,0.0,51.0,98.0,2.0,,,23.0,8.0,0.0,124.0,,,,,,93.0,,,8789.0,6313.0,,6313.0,73.0,73.0,18589.0,18989.0,18589.0,,8.0,18989.0,0.115,9833.0,12500.0,16250.0
457192,,,,,,,0.0,0.0,0.0,97.0,3.0,0.0,0.0,52.0,48.0,,,38.0,24.0,,29.0,,,,,,74.0,,,8615.0,6003.0,,6003.0,100.0,100.0,14375.0,14375.0,14375.0,,30.0,14375.0,0.176,9800.0,13107.0,11607.0
457271,,,,,,,,,,,,,,,,0.0,0.0,,,,68.0,,,,,,,,,,,,,,,,,,,,,0.047,,,
457332,,,,,,,0.0,0.0,2.0,2.0,18.0,0.0,78.0,96.0,4.0,,,22.0,20.0,,49.0,,,,,,75.0,,,6071.0,5038.0,,5038.0,50.0,50.0,16515.0,13857.0,16515.0,,5.0,13857.0,0.02,,,
457341,,,,,,,0.0,3.0,2.0,6.0,16.0,5.0,66.0,99.0,1.0,,,28.0,19.0,,185.0,,,,,,77.0,,,8560.0,5500.0,,5500.0,96.0,69.0,16434.0,15438.0,16434.0,,22.0,15438.0,0.037,9833.0,9833.0,11524.0
457439,,,,,,,0.0,7.0,0.0,28.0,18.0,0.0,46.0,99.0,1.0,,,34.0,13.0,,71.0,,,,,,2.0,,,6663.0,4823.0,,4823.0,74.0,74.0,19078.0,19393.0,19078.0,,60.0,19393.0,0.151,7667.0,13000.0,13000.0
457572,,,,,,,0.0,1.0,1.0,8.0,2.0,0.0,89.0,96.0,4.0,,,31.0,13.0,,124.0,,,,,,81.0,,,6290.0,4526.0,1000.0,4394.0,68.0,64.0,15708.0,14752.0,15708.0,,24.0,14752.0,0.012,8311.0,9833.0,7389.0
458007,,,,,,,0.0,0.0,0.0,4.0,2.0,0.0,94.0,94.0,6.0,,,48.0,46.0,,50.0,,,,,,96.0,,,5058.0,3353.0,2315.0,3822.0,70.0,59.0,9208.0,9372.0,9208.0,,37.0,9372.0,0.1,5125.0,9500.0,9500.0
458441,,,,,,,0.0,3.0,0.0,83.0,1.0,1.0,9.0,85.0,15.0,,,69.0,17.0,,335.0,,,,,37.0,52.0,,,9391.0,5544.0,,5593.0,89.0,76.0,21880.0,21322.0,21880.0,,91.0,21322.0,0.189,9225.0,14000.0,10317.0
458867,,,,,,,1.0,1.0,1.0,76.0,4.0,0.0,0.0,96.0,4.0,,,48.0,34.0,0.0,170.0,,,,,,46.0,,,9297.0,4935.0,,4935.0,83.0,83.0,16077.0,15706.0,16077.0,,61.0,15706.0,0.12,7121.0,11250.0,7389.0
459231,,,,,,,0.0,11.0,3.0,15.0,36.0,1.0,31.0,89.0,11.0,,,38.0,18.0,,228.0,,,,,,76.0,,,9585.0,4462.0,,4462.0,87.0,69.0,18843.0,18915.0,18843.0,,24.0,18915.0,0.117,10555.0,12808.0,12722.0
459426,,,,,,,1.0,7.0,3.0,12.0,7.0,0.0,71.0,97.0,3.0,,,22.0,63.0,,177.0,,,,,,83.0,,,5731.0,4130.0,,4707.0,56.0,44.0,17312.0,18784.0,17312.0,,34.0,18784.0,0.178,6647.0,8701.0,7914.0
459532,,,,,,,0.0,0.0,0.0,0.0,99.0,0.0,1.0,100.0,0.0,,,37.0,3.0,,75.0,,,,,,81.0,,,4791.0,3964.0,,3964.0,72.0,72.0,19966.0,19320.0,19966.0,,24.0,19320.0,0.0,6543.0,8792.0,7430.0
460020,,,,,,,0.0,2.0,0.0,77.0,2.0,0.0,18.0,80.0,20.0,,,63.0,11.0,,438.0,,,27311.5,27311.5,54.0,40.0,14054.0,14054.0,8297.0,5743.0,618.0,5792.0,85.0,84.0,22943.0,22820.0,22943.0,,47.0,22820.0,0.164,7600.0,12139.0,9500.0
460172,,,,,,,0.0,3.0,1.0,8.0,68.0,1.0,18.0,8.0,92.0,,,53.0,19.0,,642.0,,,,,,58.0,,,7420.0,4640.0,,4693.0,72.0,61.0,20702.0,19616.0,20702.0,,85.0,19616.0,0.189,9225.0,14000.0,10317.0
460349,0.003876,0.015504,0.0,0.0,0.023256,0.569767,1.0,1.0,2.0,26.0,13.0,0.0,47.0,71.0,29.0,2.0,4.0,59.0,1.0,0.0,2349.0,61.0,39.0,21973.0,21973.0,,0.0,13365.0,13365.0,9500.0,5533.0,667.0,4559.0,83.0,67.0,21414.0,20440.0,21414.0,,4.0,20440.0,0.065,16000.0,25750.0,13989.0
460385,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,98.0,85.0,15.0,,,29.0,59.0,,41.0,75.0,71.0,31911.5,31911.5,,86.0,15870.0,15870.0,10021.0,3548.0,,6038.0,73.0,32.0,24803.0,25065.0,24803.0,,6.0,25065.0,0.017,12000.0,,18417.0
460394,,,,,,,0.0,3.0,5.0,10.0,68.0,0.0,12.0,61.0,39.0,,,34.0,6.0,1.0,7694.0,,,25314.0,16614.0,36.0,59.0,10080.0,1380.0,6563.0,5566.0,,6244.0,88.0,48.0,4899.0,551.0,,129.0,,551.0,0.182,3500.0,,9500.0
460534,,,,,,,1.0,0.0,1.0,4.0,89.0,0.0,4.0,97.0,3.0,,,54.0,90.0,,393.0,,,,,,75.0,,,3591.0,2914.0,9583.0,3027.0,63.0,59.0,24869.0,24544.0,24869.0,,75.0,24544.0,0.124,5344.0,6333.0,6333.0
460677,,,,,,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,78.0,22.0,,,51.0,14.0,0.0,377.0,,,13484.0,13484.0,41.0,33.0,6980.0,6980.0,,5978.0,154.0,6270.0,98.0,98.0,6042.0,6004.0,6042.0,,44.0,6004.0,,,,
460969,,,,,,,0.0,0.0,0.0,3.0,93.0,0.0,3.0,92.0,8.0,,,62.0,13.0,,238.0,,,,,,84.0,,,7375.0,5442.0,,5426.0,70.0,69.0,29368.0,29770.0,29368.0,,30.0,29770.0,0.132,5500.0,7334.0,6950.0
460978,,,,,,,1.0,7.0,2.0,48.0,22.0,0.0,17.0,98.0,2.0,,,51.0,28.0,,281.0,,,,,,76.0,,,6629.0,4281.0,2481.0,4948.0,77.0,77.0,21061.0,20567.0,21061.0,,47.0,20567.0,0.143,5500.0,7917.0,7843.0
461342,,,,,,,0.0,0.0,1.0,1.0,9.0,1.0,87.0,100.0,0.0,,,22.0,38.0,,147.0,,,,,,94.0,,,8956.0,5357.0,,5357.0,39.0,39.0,14097.0,13983.0,14097.0,,15.0,13983.0,0.029,7667.0,,7929.0
461412,,,,,,,0.0,5.0,8.0,50.0,7.0,0.0,24.0,70.0,30.0,,,78.0,0.0,,120.0,,,,,,,,,,,,,,,,,,,,,0.098,3666.0,6333.0,6333.0
461625,,,,,,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,5.0,95.0,,,50.0,24.0,,21.0,,,,,,100.0,,,,4531.0,,4531.0,100.0,100.0,5058.0,4914.0,5058.0,,19.0,4914.0,,,,
461643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,70.0,90.0,10.0,0.0,8.0,55.0,0.0,,32.0,,,,,,,9375.0,9375.0,,,,,,,,,,,,,0.09,,,
461713,,,,,,,0.0,0.0,0.0,4.0,81.0,2.0,13.0,100.0,0.0,,,46.0,15.0,,52.0,,,,,,,,,5800.0,2489.0,250.0,2530.0,86.0,43.0,11566.0,11441.0,11566.0,,2.0,11441.0,0.083,3666.0,6333.0,6333.0
461908,,,,,,,0.0,1.0,1.0,32.0,26.0,0.0,40.0,98.0,2.0,,,50.0,27.0,,107.0,,,,,,84.0,,,7188.0,4003.0,,4003.0,52.0,52.0,14300.0,13969.0,14300.0,,22.0,13969.0,0.075,10194.0,10194.0,9500.0
462071,,,,,,,4.0,11.0,0.0,5.0,10.0,1.0,68.0,75.0,25.0,,,49.0,9.0,0.0,148.0,,,,,,75.0,,,7547.0,5851.0,,5851.0,74.0,62.0,11665.0,13267.0,11665.0,,14.0,13267.0,0.1,5511.0,10556.0,9500.0
466930,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,17.0,38.0,25.0,0.0,17.0,87.0,13.0,,,63.0,0.0,0.0,1923.0,100.0,82.0,34041.0,34041.0,,29.0,19236.0,19236.0,6833.0,5841.0,,5841.0,57.0,57.0,27972.0,28524.0,27972.0,,2.0,28524.0,0.026,21725.0,22204.0,16446.0
467872,,,,,,,0.0,2.0,1.0,33.0,6.0,0.0,58.0,98.0,2.0,,,38.0,6.0,0.0,233.0,,,,,,91.0,,,8351.0,5061.0,100.0,4927.0,89.0,74.0,12633.0,13035.0,12633.0,,20.0,13035.0,0.113,9093.0,11311.0,9878.0
469911,,,,,,,0.0,0.0,0.0,43.0,0.0,0.0,46.0,94.0,6.0,,,33.0,80.0,,54.0,,,,,,57.0,,,6869.0,4392.0,,4370.0,73.0,72.0,22734.0,22734.0,22734.0,,47.0,22734.0,0.162,5500.0,8395.0,8312.0
470296,,,,,,,0.0,0.0,0.0,5.0,79.0,0.0,16.0,100.0,0.0,,,47.0,63.0,,19.0,,,,,,93.0,,,6123.0,5888.0,,5888.0,72.0,72.0,12203.0,11444.0,12203.0,,21.0,11444.0,0.108,5500.0,6953.0,6934.0
475422,,,,,,,0.0,0.0,2.0,28.0,2.0,0.0,68.0,94.0,6.0,,,52.0,0.0,,106.0,,,18940.0,18940.0,33.0,,10900.0,10900.0,,,,,,,,,,,,,0.104,5500.0,12000.0,9500.0
475635,,,,,,,0.0,0.0,0.0,45.0,20.0,0.0,30.0,85.0,15.0,,,60.0,0.0,,20.0,60.0,33.0,32995.5,32995.5,100.0,100.0,23220.0,23220.0,,,,,,,,,,,,,0.083,,,
475839,,,,,,,0.0,6.0,2.0,17.0,9.0,1.0,54.0,56.0,44.0,,,73.0,6.0,,263.0,,,19344.0,19344.0,56.0,50.0,12240.0,12240.0,7437.0,6920.0,,6920.0,44.0,44.0,11166.0,12122.0,11166.0,,4.0,12122.0,0.171,7175.0,15508.0,10940.0
476489,,,,,,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13.0,87.0,,,42.0,19.0,,78.0,,,,,,69.0,,,2661.0,4771.0,,4771.0,100.0,100.0,13352.0,13785.0,13352.0,,21.0,13785.0,0.282,3500.0,3500.0,3500.0
476568,,,,,,,0.0,0.0,21.0,71.0,7.0,0.0,0.0,21.0,79.0,,,71.0,93.0,,14.0,,,,,,29.0,,,5262.0,5605.0,,5605.0,86.0,86.0,15358.0,15469.0,15358.0,,21.0,15469.0,0.571,10036.0,10036.0,9500.0
476595,,,,,,,0.0,0.0,9.0,3.0,85.0,0.0,4.0,83.0,17.0,,,83.0,56.0,,78.0,,,,,,92.0,,,7582.0,5521.0,,5521.0,65.0,65.0,31112.0,28992.0,31112.0,,22.0,28992.0,0.0,,17130.0,
476717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,,,0.0,27.0,,576.0,,,23706.333333,23706.333333,47.0,96.0,11490.0,11490.0,,9307.0,624.0,13382.0,99.0,97.0,4130.0,2718.0,4130.0,,85.0,2718.0,,,,
476726,,,,,,,0.0,0.0,0.0,0.0,98.0,0.0,1.0,83.0,17.0,,,50.0,13.0,,610.0,,,,,86.0,71.0,,,5717.0,4032.0,369.0,3865.0,42.0,40.0,21066.0,20914.0,21066.0,,46.0,20914.0,0.021,7941.0,12359.0,12359.0
476799,,,,,,,0.0,2.0,27.0,7.0,18.0,1.0,4.0,85.0,15.0,,,65.0,22.0,,399.0,,,,,,84.0,,,8823.0,3904.0,,4345.0,36.0,33.0,25791.0,28051.0,25791.0,,45.0,28051.0,0.067,8100.0,10699.0,13084.0
476850,,,,,,,0.0,10.0,3.0,5.0,28.0,0.0,49.0,31.0,69.0,,,53.0,28.0,,61.0,,,,,,88.0,,,7328.0,5327.0,,5327.0,68.0,68.0,12517.0,12231.0,12517.0,,15.0,12231.0,0.026,5500.0,9500.0,9500.0
476869,,,,,,,1.0,0.0,0.0,3.0,24.0,0.0,73.0,95.0,5.0,,,37.0,64.0,,119.0,,,,,,72.0,,,4043.0,4596.0,,4596.0,76.0,76.0,15465.0,14790.0,15465.0,,28.0,14790.0,0.203,3667.0,6333.0,6333.0
476878,,,,,,,0.0,1.0,0.0,16.0,6.0,0.0,77.0,100.0,0.0,,,54.0,13.0,,69.0,,,,,,100.0,,,5174.0,3407.0,,3407.0,42.0,42.0,9087.0,8775.0,9087.0,,45.0,8775.0,0.076,3666.0,,6333.0
477002,,,,,,,0.0,0.0,0.0,7.0,0.0,0.0,84.0,95.0,5.0,,,27.0,38.0,,56.0,,,,,,87.0,,,5224.0,6032.0,,6032.0,22.0,22.0,3866.0,,3866.0,,,,0.114,,,
478634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17303.0,25726.0,20000.0
479424,,,,,,,1.0,2.0,17.0,6.0,17.0,1.0,2.0,87.0,13.0,,,60.0,14.0,,309.0,,,,,,76.0,,,7333.0,3721.0,,3808.0,66.0,65.0,29820.0,30826.0,29820.0,,24.0,30826.0,0.067,8100.0,10699.0,13084.0
480028,,,,,,,1.0,6.0,4.0,19.0,31.0,1.0,28.0,19.0,81.0,,,82.0,21.0,,136.0,,,,,75.0,33.0,,,7118.0,2528.0,,2528.0,86.0,23.0,16668.0,17589.0,16668.0,,13.0,17589.0,0.061,5500.0,9500.0,9500.0
480198,0.0,0.0,0.0,0.0,0.210526,0.442105,3.0,3.0,6.0,20.0,18.0,2.0,46.0,72.0,28.0,0.0,1.0,93.0,1.0,,382.0,,,23400.0,23400.0,37.0,,12480.0,12480.0,,,,,,,,,,,,,0.058,18014.0,27084.0,27083.0
480532,,,,,,,0.0,4.0,0.0,14.0,7.0,0.0,64.0,96.0,4.0,,,64.0,39.0,,28.0,,,,,,65.0,,,11986.0,5711.0,259.0,5844.0,66.0,60.0,17950.0,17329.0,17950.0,,26.0,17329.0,0.18,5500.0,9500.0,9500.0
480851,,,,,,,0.0,4.0,0.0,18.0,73.0,0.0,6.0,48.0,52.0,,,83.0,18.0,,142.0,,,,,,88.0,,,8423.0,4952.0,,4952.0,89.0,89.0,31106.0,31084.0,31106.0,,40.0,31084.0,0.267,5500.0,9500.0,9500.0
480930,,,,,,,0.0,3.0,2.0,30.0,17.0,0.0,48.0,95.0,5.0,,,41.0,5.0,0.0,117.0,,,,,,64.0,,,9060.0,6045.0,3958.0,6357.0,62.0,52.0,14368.0,13890.0,14368.0,,8.0,13890.0,0.13,8389.0,12389.0,13000.0
481030,,,,,,,,,,,,,,,,56.0,0.0,,,,27.0,,,,,,,,,,,,,,,,,,,,,0.0,,,
481085,,,,,,,1.0,0.0,7.0,74.0,9.0,1.0,9.0,95.0,5.0,,,93.0,0.0,,137.0,,,,,,,,,,,,,,,,,,,,,0.04,2750.0,11600.0,9500.0
481207,,,,,,,0.0,0.0,4.0,25.0,14.0,0.0,57.0,73.0,27.0,,,75.0,41.0,,125.0,,,21800.0,21800.0,,100.0,14400.0,14400.0,7553.0,5428.0,,5428.0,72.0,72.0,22172.0,22249.0,22172.0,,12.0,22249.0,0.063,6800.0,11600.0,11473.0
481243,,,,,,,0.0,2.0,1.0,11.0,30.0,0.0,53.0,99.0,1.0,,,54.0,6.0,,270.0,,,,,,90.0,,,7941.0,5298.0,,5298.0,63.0,63.0,23387.0,33069.0,23387.0,,6.0,33069.0,0.021,3666.0,5423.0,5606.0
481252,,,,,,,0.0,0.0,0.0,85.0,8.0,0.0,7.0,87.0,13.0,,,85.0,2.0,,60.0,,,,,91.0,100.0,,,6310.0,5354.0,3574.0,5463.0,78.0,67.0,27870.0,27039.0,27870.0,,62.0,27039.0,0.133,,,
481289,,,,,,,1.0,3.0,20.0,7.0,21.0,28.0,20.0,78.0,22.0,,,66.0,1.0,,76.0,,,,,,,,,7167.0,2486.0,,2486.0,38.0,38.0,21313.0,16292.0,21313.0,,2.0,16292.0,0.0,10101.0,,16932.0
481429,,,,,,,0.0,0.0,6.0,80.0,10.0,0.0,3.0,92.0,8.0,,,86.0,35.0,0.0,158.0,,,,,,85.0,,,5450.0,3724.0,,3724.0,54.0,54.0,36420.0,36419.0,36420.0,,48.0,36419.0,0.01,5500.0,10160.0,9500.0
481438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,100.0,,,1.0,38.0,,69.0,100.0,,23116.666667,23116.666667,,88.0,12500.0,12500.0,,5202.0,646.0,5240.0,100.0,47.0,10849.0,9128.0,10849.0,,2.0,9128.0,,,,
481720,,,,,,,0.0,0.0,3.0,55.0,8.0,0.0,34.0,92.0,8.0,0.0,0.0,84.0,3.0,,43.0,,,30514.5,30514.5,15.0,,19260.0,19260.0,,,,,,,,,,,,,0.11,13168.0,25379.0,13572.0
482200,,,,,,,0.0,1.0,3.0,53.0,5.0,0.0,38.0,82.0,18.0,,,49.0,28.0,0.0,74.0,,,,,,74.0,,,7628.0,5428.0,,5428.0,79.0,79.0,12218.0,12531.0,12218.0,,22.0,12531.0,0.235,7473.0,13000.0,9500.0
482246,,,,,,,0.0,0.0,0.0,0.0,10.0,0.0,80.0,20.0,80.0,,,30.0,80.0,,20.0,,,,,,,,,7048.0,3332.0,750.0,11159.0,72.0,25.0,10330.0,8302.0,10330.0,,6.0,8302.0,0.096,2538.0,,4384.0
482413,0.21,0.0,0.0,0.0,0.0,0.73,0.0,2.0,4.0,34.0,27.0,0.0,23.0,54.0,46.0,20.0,7.0,89.0,4.0,0.0,1030.0,34.0,39.0,33046.0,33046.0,19.0,20.0,14392.0,14392.0,7031.0,5582.0,1479.0,6690.0,100.0,82.0,29641.0,27850.0,29641.0,,13.0,27850.0,0.086,14360.0,28308.0,12559.0
482468,0.156028,0.0,0.0,0.0,0.021277,0.822695,1.0,2.0,2.0,56.0,6.0,0.0,24.0,60.0,40.0,14.0,12.0,81.0,3.0,0.0,993.0,46.0,28.0,31942.0,31942.0,12.0,33.0,14392.0,14392.0,6747.0,5798.0,2484.0,8342.0,90.0,86.0,27971.0,27777.0,27971.0,,13.0,27777.0,0.086,14360.0,28308.0,12559.0
482538,0.357143,0.0,0.0,0.0,0.0,0.642857,0.0,4.0,4.0,26.0,9.0,0.0,48.0,17.0,83.0,0.0,0.0,91.0,4.0,0.0,27.0,0.0,50.0,31942.0,31942.0,36.0,,14392.0,14392.0,,,,,,,,,,,,,0.086,14360.0,28308.0,12559.0
483036,0.097879,0.094617,0.0,0.034258,0.060359,0.264274,1.0,3.0,3.0,26.0,28.0,1.0,38.0,59.0,41.0,0.0,2.0,63.0,1.0,0.0,2219.0,100.0,93.0,26170.0,16027.0,,,16385.0,6593.0,5361.0,4138.0,3437.0,6647.0,89.0,61.0,8089.0,6947.0,,7.0,,6947.0,0.048,10500.0,17207.0,14669.0
483799,,,,,,,0.0,0.0,7.0,8.0,8.0,2.0,75.0,75.0,25.0,,,69.0,27.0,,59.0,,,,,,,,,7555.0,5640.0,,5640.0,43.0,43.0,28255.0,28255.0,28255.0,,3.0,28255.0,0.02,,,
483814,,,,,,,0.0,1.0,6.0,81.0,7.0,0.0,4.0,90.0,10.0,,,94.0,5.0,,518.0,32.0,26.0,,,75.0,85.0,,,10067.0,6177.0,,6177.0,79.0,79.0,32851.0,33108.0,32851.0,,78.0,33108.0,0.056,8716.0,14750.0,14750.0
483869,,,,,,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,72.0,28.0,,,89.0,81.0,,81.0,,,,,,,,,8445.0,4546.0,,4546.0,81.0,81.0,23105.0,23105.0,23105.0,,37.0,23105.0,0.029,,,
483878,,,,,,,1.0,8.0,14.0,18.0,36.0,1.0,10.0,88.0,12.0,,,50.0,33.0,,198.0,,,,,,71.0,,,7512.0,6301.0,2364.0,6598.0,96.0,89.0,22665.0,22508.0,22665.0,,53.0,22508.0,0.172,5500.0,9114.0,9114.0
484048,,,,,,,0.0,0.0,0.0,69.0,31.0,0.0,0.0,23.0,77.0,,,31.0,31.0,,13.0,,,,,,100.0,,,6500.0,6195.0,,6195.0,100.0,100.0,13223.0,13223.0,13223.0,,8.0,13223.0,0.564,,,
484066,,,,,,,1.0,7.0,3.0,28.0,11.0,0.0,50.0,93.0,7.0,,,37.0,26.0,,218.0,,,,,88.0,96.0,,,8943.0,5081.0,,5023.0,82.0,78.0,17848.0,22441.0,17848.0,,173.0,22441.0,0.118,5500.0,9176.0,9176.0
484172,,,,,,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,88.0,12.0,,,88.0,63.0,,16.0,,,,,,,,,5901.0,4199.0,,4199.0,100.0,100.0,16604.0,16604.0,16604.0,,64.0,16604.0,0.049,,,
484358,,,,,,,0.0,6.0,0.0,8.0,2.0,0.0,74.0,96.0,4.0,,,49.0,53.0,,53.0,,,,,,42.0,,,10588.0,5495.0,240.0,5586.0,80.0,72.0,18715.0,18210.0,18715.0,,27.0,18210.0,0.186,5500.0,9500.0,9500.0
484394,,,,,,,1.0,6.0,0.0,2.0,14.0,2.0,73.0,85.0,15.0,,,23.0,7.0,,205.0,,,,,,87.0,,,8691.0,4279.0,1307.0,3865.0,93.0,52.0,16417.0,12804.0,16417.0,,9.0,12804.0,0.066,8389.0,10556.0,9500.0
484473,0.06872,0.0,0.018957,0.14218,0.14455,0.233412,0.0,4.0,6.0,6.0,23.0,0.0,57.0,54.0,46.0,,,34.0,19.0,3.0,5168.0,69.0,63.0,25439.0,12736.0,,91.0,15000.0,3358.0,5407.0,5661.0,2675.0,8575.0,88.0,18.0,9024.0,-524.0,,49.0,,-524.0,0.017,14970.0,15580.0,15170.0
484826,,,,,,,2.0,2.0,2.0,9.0,30.0,0.0,50.0,100.0,0.0,,,37.0,5.0,,44.0,,,,,,88.0,,,5771.0,4500.0,2000.0,5300.0,48.0,48.0,11765.0,10412.0,11765.0,,3.0,10412.0,0.059,4400.0,5935.0,5315.0
484871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,,,0.0,27.0,,114.0,,,15183.333333,15183.333333,,76.0,9000.0,9000.0,,13938.0,,17946.0,38.0,38.0,5155.0,4901.0,5155.0,,6.0,4901.0,,,,
485263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17303.0,25726.0,20000.0
485360,,,,,,,0.0,0.0,9.0,55.0,18.0,0.0,18.0,91.0,9.0,,,95.0,23.0,,22.0,,100.0,,,,100.0,,,6750.0,6000.0,,9000.0,80.0,80.0,45640.0,50338.0,45640.0,,5.0,50338.0,0.0,,,
485458,,,,,,,0.0,2.0,1.0,21.0,15.0,0.0,60.0,64.0,36.0,,,25.0,2.0,0.0,4021.0,,,11464.0,9317.0,21.0,53.0,4294.0,2147.0,,6924.0,485.0,8450.0,88.0,73.0,2331.0,681.0,,24.0,,681.0,,,,
485582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3666.0,6333.0,6333.0
485874,,,,,,,0.0,1.0,3.0,25.0,44.0,0.0,28.0,96.0,4.0,,,56.0,14.0,,167.0,,,,,,91.0,,,4656.0,3058.0,,3058.0,39.0,33.0,23740.0,21635.0,23740.0,,4.0,21635.0,0.149,4584.0,7916.0,7917.0
485953,,,,,,,0.0,0.0,2.0,20.0,8.0,0.0,69.0,14.0,86.0,,,50.0,97.0,,59.0,,,,,,69.0,,,3042.0,1865.0,,1865.0,88.0,88.0,24218.0,23321.0,24218.0,,12.0,23321.0,0.153,,,
486150,,,,,,,0.0,15.0,1.0,41.0,8.0,0.0,34.0,64.0,36.0,,,46.0,30.0,,145.0,,,,,,88.0,,,,3919.0,691.0,3238.0,95.0,59.0,3588.0,2715.0,,5.0,,2715.0,,,,
486169,,,,,,,0.0,0.0,2.0,40.0,3.0,0.0,54.0,23.0,77.0,,,72.0,49.0,,65.0,,,,,,96.0,,,4570.0,3019.0,,3019.0,67.0,67.0,22378.0,22229.0,22378.0,,18.0,22229.0,0.224,6625.0,12125.0,11005.0
486202,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,90.0,10.0,,,37.0,17.0,,30.0,,75.0,,,,100.0,,,,,,,0.0,0.0,,,,,,,,,,
486239,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,63.0,37.0,75.0,0.0,50.0,5.0,,211.0,,,17805.0,17805.0,100.0,90.0,10200.0,10200.0,,5553.0,5610.0,6165.0,100.0,10.0,9360.0,8452.0,9360.0,,1.0,8452.0,0.068,,,
486309,,,,,,,0.0,0.0,0.0,0.0,50.0,0.0,50.0,75.0,25.0,,,25.0,75.0,0.0,4.0,,,,,,75.0,,,6847.0,5006.0,2000.0,5505.0,86.0,71.0,11897.0,11897.0,11897.0,,6.0,11897.0,0.285,,,
486424,,,,,,,0.0,0.0,0.0,98.0,2.0,0.0,0.0,97.0,3.0,,,66.0,24.0,,142.0,,,32225.0,32225.0,,90.0,16000.0,16000.0,8161.0,4723.0,,4723.0,80.0,80.0,36002.0,18170.0,36002.0,,14.0,18170.0,0.0,,17713.0,
486576,,,,,,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,76.0,24.0,,,36.0,72.0,,126.0,,,11129.0,11129.0,,87.0,7196.0,7196.0,,3173.0,,3173.0,100.0,100.0,7091.0,6978.0,7091.0,,118.0,6978.0,,,,
486619,,,,,,,0.0,4.0,2.0,1.0,16.0,0.0,73.0,96.0,4.0,,,45.0,1.0,,135.0,,,,,,100.0,,,8032.0,3498.0,,3498.0,100.0,100.0,11600.0,10621.0,11600.0,,3.0,10621.0,0.2,,6211.0,
